# t, hp, hx
1.074484898799999977e+00 -4.371257869799999862e-01 -3.159148794400000182e-01
1.074566391100000073e+00 -4.382338373999999925e-01 -3.172690999500000220e-01
1.074647882500000096e+00 -4.398895367799999789e-01 -3.176891320299999877e-01
1.074729372700000019e+00 -4.412945364599999976e-01 -3.169014650799999999e-01
1.074810861800000072e+00 -4.416463768800000245e-01 -3.158452729299999762e-01
1.074892349800000035e+00 -4.404953292600000125e-01 -3.150139553599999864e-01
1.074973836599999899e+00 -4.387803444600000269e-01 -3.133520748199999928e-01
1.075054595199999907e+00 -4.370078173199999916e-01 -3.104464958300000021e-01
1.075136079800000033e+00 -4.353965800699999833e-01 -3.076411439599999742e-01
1.075217563300000068e+00 -4.343664979699999873e-01 -3.082364456800000263e-01
1.075299046000000036e+00 -4.337644091599999752e-01 -3.129130939800000011e-01
1.075380527899999938e+00 -4.343444867099999773e-01 -3.186032260400000204e-01
1.075462009100000005e+00 -4.360403246899999807e-01 -3.215343164200000214e-01
1.075543489399999997e+00 -4.383556638200000188e-01 -3.201218999900000139e-01
1.075624968899999923e+00 -4.419110347899999902e-01 -3.154672362000000008e-01
1.075706447399999988e+00 -4.448407988299999949e-01 -3.109287781999999778e-01
1.075787924799999962e+00 -4.438094791500000191e-01 -3.094066384599999942e-01
1.075869401100000067e+00 -4.390237973300000207e-01 -3.097192057600000048e-01
1.075950876300000081e+00 -4.339261549899999793e-01 -3.096395113500000074e-01
1.076031774799999896e+00 -4.310967115000000072e-01 -3.100102424200000262e-01
1.076113247799999950e+00 -4.317661731899999911e-01 -3.131817882499999817e-01
1.076194719699999913e+00 -4.356844242799999822e-01 -3.180815040500000190e-01
1.076276190700000024e+00 -4.404415929100000127e-01 -3.207419178199999998e-01
1.076357660500000035e+00 -4.435166656699999765e-01 -3.184537198099999800e-01
1.076439129199999956e+00 -4.441437887099999871e-01 -3.122296001900000118e-01
1.076520596699999999e+00 -4.427758412300000224e-01 -3.059086301599999724e-01
1.076602063199999959e+00 -4.393188967600000217e-01 -3.033846211099999746e-01
1.076683528500000042e+00 -4.344801710999999789e-01 -3.047435042200000166e-01
1.076764992800000043e+00 -4.307244585500000222e-01 -3.080870845099999977e-01
1.076846455999999952e+00 -4.300116363500000038e-01 -3.117703389800000058e-01
1.076927918200000001e+00 -4.324029730400000271e-01 -3.136692130700000081e-01
1.077008960699999962e+00 -4.368965777700000164e-01 -3.136928549899999918e-01
1.077090420900000067e+00 -4.417287303499999873e-01 -3.126751156300000001e-01
1.077171880100000090e+00 -4.442981753499999908e-01 -3.111367014299999956e-01
1.077253338300000030e+00 -4.433372079899999818e-01 -3.091725613199999834e-01
1.077334795400000100e+00 -4.404845834700000240e-01 -3.072005091400000221e-01
1.077416251400000080e+00 -4.372640580100000118e-01 -3.065040753100000126e-01
1.077497706299999969e+00 -4.341771965799999800e-01 -3.082307692599999815e-01
1.077579159999999980e+00 -4.327133681499999995e-01 -3.116750912099999771e-01
1.077660612699999909e+00 -4.340685216799999857e-01 -3.145410209799999746e-01
1.077742064399999977e+00 -4.380070913799999910e-01 -3.158683143600000132e-01
1.077823515299999979e+00 -4.421793472300000194e-01 -3.157888973499999863e-01
1.077904965199999898e+00 -4.433920912100000056e-01 -3.141199604100000098e-01
1.077986414099999957e+00 -4.406890548199999813e-01 -3.114697148000000193e-01
1.078067601799999942e+00 -4.357294239799999747e-01 -3.095680151299999849e-01
1.078149048800000065e+00 -4.314670158100000208e-01 -3.091183070799999877e-01
1.078230494899999892e+00 -4.301078035900000041e-01 -3.103896762800000264e-01
1.078311939900000072e+00 -4.326585608999999888e-01 -3.138210796400000002e-01
1.078393383799999938e+00 -4.383701775900000208e-01 -3.177526115000000040e-01
1.078474826699999944e+00 -4.440453873199999846e-01 -3.186141938900000081e-01
1.078556268500000082e+00 -4.466796588199999918e-01 -3.155835531899999769e-01
1.078637709399999922e+00 -4.445228109300000119e-01 -3.110987357200000192e-01
1.078719149299999902e+00 -4.385254327700000010e-01 -3.070707224499999999e-01
1.078800588300000030e+00 -4.321876304799999735e-01 -3.046134417699999930e-01
1.078882026300000074e+00 -4.283251633099999789e-01 -3.047996166199999912e-01
1.078963463200000028e+00 -4.283978848600000222e-01 -3.079546521900000111e-01
1.079044789599999943e+00 -4.323707198000000251e-01 -3.127732986699999773e-01
1.079126224499999953e+00 -4.389106271300000084e-01 -3.163033996499999834e-01
